Project_code	Submitter_donor_ID	Normal_WGS_aliquot_ID	Tumour_WGS_aliquot_ID	Stars	Mean_Coverage_Normal	Mean_Coverage_Tumour	Median/Mean_Coverage_Normal	FWHM_Normal	Median/Mean_Coverage_Tumour	FWHM_Tumour	Somatic_Mutation_Calling_Coverage	%_of_paired_reads_mapping_to_different_chromosomes_Normal	%_of_paired_reads_mapping_to_different_chromosomes_Tumour	Ratio_of_difference_in_edits_between_paired_reads_Normal	Ratio_of_difference_in_edits_between_paired_reads_Tumour
SARC-US	73d2e8ef-4e10-416a-845b-f48374e48ecb	bab2414e-d20b-4b79-ae79-1223a627736e	4c59fb2d-21b6-4b09-8174-6102de736e4d	5.0	35.46	52.04	1.027467013	0.0742207978	0.9670741667	0.0668813077	2817647609	1.18	1.50	1.186304616	1.091954568
SARC-US	7bab6742-4e3d-4fcf-9b90-d3e0218b4d79	5925ff29-ab11-4a35-957f-0e6198757944	408ed640-75f6-4346-bdd0-3b93c51adae5	5.0	34.18	53.36	1.029322463	0.0765283728	1.038262141	0.0678474692	2818866898	1.09	1.12	1.150193177	1.133185885
SARC-US	7f9031da-124a-4a38-83e6-878a50e58c24	833ec0aa-f61e-49fc-acf0-ddd1a0a1f5c4	cdbbd701-9c05-4f9e-923d-06039dd8a04d	5.0	32.12	52.96	1.013129041	0.076848497	1.055294589	0.084822081	2807351595	1.20	1.06	1.37708102	1.285143454
SARC-US	854e42bc-95b2-4b77-a4b2-ffbd6c28b281	e64c9084-028a-460d-8ebc-5587c4601ea8	1c188bf5-2c99-4eb4-a774-59c75d53e643	4.5	31.46	56.21	1.024856874	0.0765904464	0.8660814459	0.0626299221	2800961490	1.88	1.53	1.058467066	1.32771345
SARC-US	8654c2b5-27d7-43c5-9a39-7fdefd7a0324	40925959-5b66-45a5-a8a2-61ee7e67b084	7a5d3b6b-be5a-4e55-9255-32a069b8af3d	5.0	32.60	52.93	1.010989225	0.0775122444	0.9970491547	0.050884718	2790482659	1.37	1.38	1.290639374	1.341450006
SARC-US	8f3f6f7c-4b50-467e-a6e8-d836735913f6	d88d98c1-20d6-4351-a37b-39915181ba3f	3c963890-6e79-4b16-a4aa-bac04938b4d7	5.0	35.04	53.19	1.027681121	0.0816730724	0.9631372096	0.066363942	2804816177	1.32	1.21	1.464055912	1.326490126
SARC-US	9517413b-b5b8-4130-8ba1-d86d44abe2ec	7f34c3a1-efee-47c6-bd61-502061fec7e3	18ec066e-8510-4921-9e35-45d85fb01e38	5.0	32.51	56.38	1.011276018	0.0826607993	0.9580923143	0.0635319447	2813719522	1.46	1.29	1.414657761	1.405937313
SARC-US	9c9b53e5-cdbe-4510-a839-4a3b5039681b	33ac805d-038d-4238-8f33-54634f71015e	16d33e09-2e21-4da2-8e57-e78ce28c4408	4.0	37.22	58.69	0.9685246043	0.2495192766	0.9413754484	0.0545699328	2685477355	2.02	1.28	1.628330109	1.314919071
SARC-US	b5f27002-4277-418d-90b0-cc5a2742692e	daf47fe1-0c16-4711-a274-db2c20165c2c	35c797fd-ca81-4cef-b6c4-7e3776f661b3	5.0	35.04	49.12	1.015223369	0.0721218407	0.9632433402	0.2493890342	2798981882	1.56	1.43	1.271289381	1.279706212
SARC-US	b85e2156-d5ac-486c-93e1-86525ea41a64	d732488f-aa89-4ee1-8915-c6ba1c5a5c44	72f0a49a-aec8-47e5-846a-956c4da1507c	5.0	37.28	58.59	1.038206275	0.1481347824	1.016979034	0.0843652479	2809941620	1.15	1.03	1.0048548	1.300096259
